Building,Room Name,Capacity,Date,Time,Status
Fenwick Library,Fenwick 1014,4,2026-02-14,09:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,09:30,Booked
Fenwick Library,Fenwick 1014,4,2026-02-14,10:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,10:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,11:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,11:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,12:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,12:30,Booked
Fenwick Library,Fenwick 1014,4,2026-02-14,13:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,13:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,14:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,14:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,15:00,Booked
Fenwick Library,Fenwick 1014,4,2026-02-14,15:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,16:00,Booked
Fenwick Library,Fenwick 1014,4,2026-02-14,16:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,17:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,17:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,18:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,18:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,19:00,Booked
Fenwick Library,Fenwick 1014,4,2026-02-14,19:30,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,20:00,Available
Fenwick Library,Fenwick 1014,4,2026-02-14,20:30,Available
Fenwick Library,Fenwick 2020,4,2026-02-14,09:00,Available
Fenwick Library,Fenwick 2020,4,2026-02-14,09:30,Available
Fenwick Library,Fenwick 2020,4,2026-02-14,10:00,Available
Fenwick Library,Fenwick 2020,4,2026-02-14,10:30,Available
Fenwick Library,Fenwick 2020,4,2026-02-14,11:00,Booked
